,feature,value,target,sample_size,kl_divergence,mae,num_samples
100,start_time,20,primary_mode,58,1.1214737148523106,0.1625615763546798,0
101,start_time,20,duration_minutes,58,1.312401098912699,0.20197044334975364,0
102,start_time,13,primary_mode,68,0.7280265011499869,0.14285714285714285,0
103,start_time,13,duration_minutes,68,1.104812441889923,0.19327731092436973,0
104,start_time,21,primary_mode,28,0.8204493297433673,0.15306122448979592,0
105,start_time,21,duration_minutes,28,1.6894922704034392,0.2619047619047619,0
106,start_time,9,primary_mode,65,1.0755425530379383,0.14945054945054942,0
107,start_time,9,duration_minutes,65,1.0468732559590366,0.13675213675213677,0
108,start_time,17,primary_mode,68,0.9482648763395994,0.16666666666666666,0
109,start_time,17,duration_minutes,68,1.4971224133289032,0.23529411764705885,0
110,start_time,16,primary_mode,74,0.7452200059417703,0.15765765765765768,0
111,start_time,16,duration_minutes,74,1.4682294368756261,0.2046332046332046,0
112,start_time,10,primary_mode,32,1.6348665573016952,0.10714285714285714,0
113,start_time,10,duration_minutes,32,0.9594301270254604,0.225,0
114,start_time,7,primary_mode,67,0.6268418931034532,0.14925373134328357,0
115,start_time,7,duration_minutes,67,1.108001253176461,0.17910447761194032,0
0,age_group,Under 18,primary_mode,85,1.1438888142263457,0.047058823529411764,0
1,age_group,Under 18,duration_minutes,85,0.557145371610363,0.07210884353741497,0
2,age_group,55-64,primary_mode,80,0.35796272046005223,0.125,0
3,age_group,55-64,duration_minutes,80,1.2082281714766547,0.075,0
4,age_group,65+,primary_mode,96,0.6093139019499987,0.08928571428571429,0
5,age_group,65+,duration_minutes,96,0.2947552522584895,0.026515151515151523,0
6,age_group,18-24,primary_mode,229,0.21906891862511468,0.04741110417966312,0
7,age_group,18-24,duration_minutes,229,0.6105034989610411,0.029063329224211783,0
8,age_group,25-34,primary_mode,266,0.9784557208467682,0.1099624060150376,0
9,age_group,25-34,duration_minutes,266,1.1791627994966845,0.09160519222584765,0
10,age_group,35-44,primary_mode,144,0.3982082529088715,0.08928571428571429,0
11,age_group,35-44,duration_minutes,144,0.5519223268419876,0.08564814814814815,0
12,age_group,45-54,primary_mode,100,0.6908317703053857,0.10857142857142857,0
13,age_group,45-54,duration_minutes,100,0.71740171090968,0.10285714285714287,0
14,income_group,$100k-$150k,primary_mode,166,0.546995545829122,0.10499139414802065,0
15,income_group,$100k-$150k,duration_minutes,166,0.1717145608268878,0.07695022514299622,0
16,income_group,$10k-$50k,primary_mode,103,0.4091256230921207,0.08044382801664354,0
17,income_group,$10k-$50k,duration_minutes,103,0.9878982073311929,0.036677454153182305,0
18,income_group,$300k+,primary_mode,175,0.45210190905428865,0.06857142857142857,0
19,income_group,$300k+,duration_minutes,175,1.3561851189854475,0.06562233169129719,0
20,income_group,$50k-$100k,primary_mode,137,0.6619769874369259,0.0896767466110532,0
21,income_group,$50k-$100k,duration_minutes,137,0.6147690251987775,0.04718177914828837,0
22,income_group,Under $10k,primary_mode,195,0.2637651271288214,0.05421245421245421,0
23,income_group,Under $10k,duration_minutes,195,0.311738553351469,0.026923076923076918,0
24,income_group,$200k-$300k,primary_mode,135,0.5801008171392369,0.07195767195767197,0
25,income_group,$200k-$300k,duration_minutes,135,0.46175041670044537,0.10370370370370373,0
26,income_group,$150k-$200k,primary_mode,89,0.49252551933335303,0.0898876404494382,0
27,income_group,$150k-$200k,duration_minutes,89,0.4517139469664384,0.08025682182985554,0
28,employment_status,not_in_labor_force,primary_mode,258,0.36460245467986196,0.05537098560354374,0
29,employment_status,not_in_labor_force,duration_minutes,258,0.1473492539745461,0.019121447028423777,0
30,employment_status,employed,primary_mode,644,0.5511183136782608,0.08462732919254659,0
31,employment_status,employed,duration_minutes,644,0.6138261488959298,0.039292970337261264,0
32,employment_status,under_16,primary_mode,72,0.01912896818218436,0.03703703703703705,0
33,employment_status,under_16,duration_minutes,72,0.6849675967723501,0.08528951486697964,0
34,employment_status,unemployed,primary_mode,26,0.3742754800064687,0.10256410256410255,0
35,employment_status,unemployed,duration_minutes,26,0.2726486450406385,0.20512820512820515,0
36,household_size,4,primary_mode,153,0.17313588708330024,0.03361344537815126,0
37,household_size,4,duration_minutes,153,0.3617592653505078,0.06534711014648684,0
38,household_size,1,primary_mode,302,0.4004472652793105,0.062440870387890264,0
39,household_size,1,duration_minutes,302,0.6954746769866268,0.027508914926133474,0
40,household_size,2,primary_mode,290,0.7404585395485461,0.09827586206896553,0
41,household_size,2,duration_minutes,290,0.5124853967300135,0.04477527007058091,0
42,household_size,6,primary_mode,20,1.3178907202044199,0.13333333333333333,0
43,household_size,6,duration_minutes,20,0.3011709205820003,0.15,0
44,household_size,3,primary_mode,184,0.33093783211720235,0.09006211180124224,0
45,household_size,3,duration_minutes,184,0.6482425252517785,0.07880434782608696,0
46,household_size,5,primary_mode,37,0.2987609919222363,0.08108108108108107,0
47,household_size,5,duration_minutes,37,0.6360003486738982,0.08648648648648649,0
48,available_vehicles,two,primary_mode,179,0.6896523267218806,0.1037509976057462,0
49,available_vehicles,two,duration_minutes,179,0.264512126745869,0.04469273743016759,0
50,available_vehicles,one,primary_mode,409,0.3775932716984094,0.06845965770171149,0
51,available_vehicles,one,duration_minutes,409,0.36010104832019785,0.04767610635581295,0
52,available_vehicles,three_plus,primary_mode,27,0.9013929686400254,0.07407407407407408,0
53,available_vehicles,three_plus,duration_minutes,27,1.0368408225737777,0.16296296296296298,0
54,available_vehicles,unknown_num_vehicles,primary_mode,156,0.32463533999015964,0.04212454212454213,0
55,available_vehicles,unknown_num_vehicles,duration_minutes,156,0.39746083353660977,0.03685897435897436,0
